Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	28 Profesionales en ciencias sociales	Percentil 75	2018	33.080,16
Ambos sexos	28 Profesionales en ciencias sociales	Percentil 90	2018	41.854,95
Ambos sexos	29 Profesionales de la cultura y el espectáculo	Media	2018	32.542,19
Ambos sexos	29 Profesionales de la cultura y el espectáculo	Percentil 10	2018	11.626,78
Ambos sexos	29 Profesionales de la cultura y el espectáculo	Percentil 25	2018	18.944,9
Ambos sexos	29 Profesionales de la cultura y el espectáculo	Percentil 50	2018	28.851,52
Ambos sexos	29 Profesionales de la cultura y el espectáculo	Percentil 75	2018	43.216,81
Ambos sexos	29 Profesionales de la cultura y el espectáculo	Percentil 90	2018	57.223,72
Ambos sexos	D Técnicos; profesionales de apoyo	Media	2018	29.261,35
Ambos sexos	D Técnicos; profesionales de apoyo	Percentil 10	2018	10.734,94
Ambos sexos	D Técnicos; profesionales de apoyo	Percentil 25	2018	18.000
Ambos sexos	D Técnicos; profesionales de apoyo	Percentil 50	2018	26.417,26
Ambos sexos	D Técnicos; profesionales de apoyo	Percentil 75	2018	37.238,47
Ambos sexos	D Técnicos; profesionales de apoyo	Percentil 90	2018	51.242,2
Ambos sexos	31 Técnicos de las ciencias y de las ingenierías	Media	2018	31.872,85
Ambos sexos	31 Técnicos de las ciencias y de las ingenierías	Percentil 10	2018	16.457,67
Ambos sexos	31 Técnicos de las ciencias y de las ingenierías	Percentil 25	2018	21.345,83
Ambos sexos	31 Técnicos de las ciencias y de las ingenierías	Percentil 50	2018	28.532,24
Ambos sexos	31 Técnicos de las ciencias y de las ingenierías	Percentil 75	2018	38.684,43
Ambos sexos	31 Técnicos de las ciencias y de las ingenierías	Percentil 90	2018	51.920,68
Ambos sexos	32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción	Media	2018	38.150,32
Ambos sexos	32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción	Percentil 10	2018	20.187,82
Ambos sexos	32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción	Percentil 25	2018	26.882,5
Ambos sexos	32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción	Percentil 50	2018	35.158,17
Ambos sexos	32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción	Percentil 75	2018	46.435,15
Ambos sexos	32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción	Percentil 90	2018	59.490,52
Ambos sexos	33 Técnicos sanitarios y profesionales de las terapias alternativas	Media	2018	22.335,25
Ambos sexos	33 Técnicos sanitarios y profesionales de las terapias alternativas	Percentil 10	2018	9.739,42
Ambos sexos	33 Técnicos sanitarios y profesionales de las terapias alternativas	Percentil 25	2018	15.288,56
Ambos sexos	33 Técnicos sanitarios y profesionales de las terapias alternativas	Percentil 50	2018	21.657,97
Ambos sexos	33 Técnicos sanitarios y profesionales de las terapias alternativas	Percentil 75	2018	27.742,95
Ambos sexos	33 Técnicos sanitarios y profesionales de las terapias alternativas	Percentil 90	2018	34.947,48
Ambos sexos	34 Profesionales de apoyo en finanzas y matemáticas	Media	2018	43.010,73
Ambos sexos	34 Profesionales de apoyo en finanzas y matemáticas	Percentil 10	2018	22.062,55
Ambos sexos	34 Profesionales de apoyo en finanzas y matemáticas	Percentil 25	2018	31.350
Ambos sexos	34 Profesionales de apoyo en finanzas y matemáticas	Percentil 50	2018	41.616,43
Ambos sexos	34 Profesionales de apoyo en finanzas y matemáticas	Percentil 75	2018	52.873,2
Ambos sexos	34 Profesionales de apoyo en finanzas y matemáticas	Percentil 90	2018	64.279,51
Ambos sexos	35 Representantes, agentes comerciales y afines	Media	2018	33.389,09
Ambos sexos	35 Representantes, agentes comerciales y afines	Percentil 10	2018	12.836,79
Ambos sexos	35 Representantes, agentes comerciales y afines	Percentil 25	2018	18.809,17
Ambos sexos	35 Representantes, agentes comerciales y afines	Percentil 50	2018	29.443,95
Ambos sexos	35 Representantes, agentes comerciales y afines	Percentil 75	2018	43.679,14
Ambos sexos	35 Representantes, agentes comerciales y afines	Percentil 90	2018	60.324,65
Ambos sexos	36 Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad	Media	2018	28.876,54
Ambos sexos	36 Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad	Percentil 10	2018	14.643,15
Ambos sexos	36 Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad	Percentil 25	2018	19.935,37
Ambos sexos	36 Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad	Percentil 50	2018	27.104,04
Ambos sexos	36 Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad	Percentil 75	2018	34.854,3
Ambos sexos	36 Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad	Percentil 90	2018	45.139,84
Ambos sexos	37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines	Media	2018	16.189,89
Ambos sexos	37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines	Percentil 10	2018	3.092,42
Ambos sexos	37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines	Percentil 25	2018	6.197,74
Ambos sexos	37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines	Percentil 50	2018	13.200
