Tipo de jornada	Ocupación	Decil	Periodo	Total
Total	2 Técnicos y profesionales científicos e intelectuales	5	2020	1.607,6
Total	2 Técnicos y profesionales científicos e intelectuales	5	2019	1.589,6
Total	2 Técnicos y profesionales científicos e intelectuales	5	2018	1.548,4
Total	2 Técnicos y profesionales científicos e intelectuales	5	2017	1.493,7
Total	2 Técnicos y profesionales científicos e intelectuales	5	2016	1.503,8
Total	2 Técnicos y profesionales científicos e intelectuales	5	2015	1.500,6
Total	2 Técnicos y profesionales científicos e intelectuales	5	2014	1.498,6
Total	2 Técnicos y profesionales científicos e intelectuales	5	2013	1.507
Total	2 Técnicos y profesionales científicos e intelectuales	5	2012	1.491,3
Total	2 Técnicos y profesionales científicos e intelectuales	5	2011	1.480,6
Total	2 Técnicos y profesionales científicos e intelectuales	6	2024	2.131,8
Total	2 Técnicos y profesionales científicos e intelectuales	6	2023	2.069,1
Total	2 Técnicos y profesionales científicos e intelectuales	6	2022	1.920,1
Total	2 Técnicos y profesionales científicos e intelectuales	6	2021	1.872,3
Total	2 Técnicos y profesionales científicos e intelectuales	6	2020	1.821,3
Total	2 Técnicos y profesionales científicos e intelectuales	6	2019	1.802,3
Total	2 Técnicos y profesionales científicos e intelectuales	6	2018	1.754
Total	2 Técnicos y profesionales científicos e intelectuales	6	2017	1.696,7
Total	2 Técnicos y profesionales científicos e intelectuales	6	2016	1.713,7
Total	2 Técnicos y profesionales científicos e intelectuales	6	2015	1.707,2
Total	2 Técnicos y profesionales científicos e intelectuales	6	2014	1.729,8
Total	2 Técnicos y profesionales científicos e intelectuales	6	2013	1.712,3
Total	2 Técnicos y profesionales científicos e intelectuales	6	2012	1.687,9
Total	2 Técnicos y profesionales científicos e intelectuales	6	2011	1.685,6
Total	2 Técnicos y profesionales científicos e intelectuales	7	2024	2.470,9
Total	2 Técnicos y profesionales científicos e intelectuales	7	2023	2.372,1
Total	2 Técnicos y profesionales científicos e intelectuales	7	2022	2.195,2
Total	2 Técnicos y profesionales científicos e intelectuales	7	2021	2.168,8
Total	2 Técnicos y profesionales científicos e intelectuales	7	2020	2.132,4
Total	2 Técnicos y profesionales científicos e intelectuales	7	2019	2.075,8
Total	2 Técnicos y profesionales científicos e intelectuales	7	2018	2.038,4
Total	2 Técnicos y profesionales científicos e intelectuales	7	2017	1.983
Total	2 Técnicos y profesionales científicos e intelectuales	7	2016	1.983,8
Total	2 Técnicos y profesionales científicos e intelectuales	7	2015	1.977,3
Total	2 Técnicos y profesionales científicos e intelectuales	7	2014	2.008
Total	2 Técnicos y profesionales científicos e intelectuales	7	2013	1.992,9
Total	2 Técnicos y profesionales científicos e intelectuales	7	2012	1.963,4
Total	2 Técnicos y profesionales científicos e intelectuales	7	2011	1.939,9
Total	2 Técnicos y profesionales científicos e intelectuales	8	2024	2.943,5
Total	2 Técnicos y profesionales científicos e intelectuales	8	2023	2.807,4
Total	2 Técnicos y profesionales científicos e intelectuales	8	2022	2.633,6
